Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
127,Mecole Hardman\HardMe00,KAN,22,wr,4,2,14,11,144,13.1,2,5,49,2.8,36.0,78.6%,10.3,1,3,0,0,3,3.0,0.8,0.3,12,12.3,147,2,0
128,O.J. Howard\HowaO.00,TAM,26,te,4,1,19,11,146,13.3,2,8,33,2.8,36.5,57.9%,7.7,,,,0,,,,,11,13.3,146,2,0
129,J.K. Dobbins\DobbJK00,BAL,22,,4,0,7,6,52,8.7,0,2,19,1.5,13.0,85.7%,7.4,15,92,2,5,44,6.1,23.0,3.8,21,6.9,144,2,0
130,Chris Godwin\GodwCh00,TAM,24,wr,2,2,13,11,143,13.0,1,6,30,5.5,71.5,84.6%,11.0,,,,0,,,,,11,13.0,143,1,0
131,Cedrick Wilson\WilsCe01,DAL,25,,4,0,13,8,141,17.6,2,7,42,2.0,35.3,61.5%,10.8,,,,0,,,,,8,17.6,141,2,0
132,Rob Gronkowski\GronRo00,TAM,31,te,5,5,20,12,140,11.7,0,6,29,2.4,28.0,60.0%,7.0,,,,0,,,,,12,11.7,140,0,0
133,Alexander Mattison\MattAl01,MIN,22,,4,0,6,5,33,6.6,0,2,9,1.3,8.3,83.3%,5.5,24,107,1,6,21,4.5,26.8,6.0,29,4.8,140,1,0
134,Greg Ward\WardGr02,PHI,25,wr,4,2,26,18,146,8.1,1,8,29,4.5,36.5,69.2%,5.6,1,-6,0,0,-6,-6.0,-1.5,0.3,19,7.4,140,1,0
135,Zach Ertz\ErtzZa00,PHI,30,te,4,4,29,19,139,7.3,1,8,30,4.8,34.8,65.5%,4.8,,,,0,,,,,19,7.3,139,1,0
136,Brandin Cooks\CookBr00,HOU,27,wr,4,4,21,10,138,13.8,0,7,38,2.5,34.5,47.6%,6.6,,,,0,,,,,10,13.8,138,0,0
137,Dallas Goedert\GoedDa00,PHI,25,te,3,1,18,13,138,10.6,1,7,34,4.3,46.0,72.2%,7.7,,,,0,,,,,13,10.6,138,1,0
138,Marvin Jones\JoneMa02,DET,30,wr,4,4,19,12,138,11.5,1,9,21,3.0,34.5,63.2%,7.3,,,,0,,,,,12,11.5,138,1,0
139,Daniel Jones\JoneDa05,NYG,23,qb,4,4,0,0,0,,0,0,0,0.0,0.0,0.0%,,18,137,0,8,23,7.6,34.3,4.5,18,7.6,137,0,3
140,Olamide Zaccheaus\ZaccOl01,ATL,23,,4,0,16,13,137,10.5,0,9,16,3.3,34.3,81.3%,8.6,,,,0,,,,,13,10.5,137,0,0
141,Adam Humphries\HumpAd00,TEN,27,wr,3,1,20,15,136,9.1,1,5,23,5.0,45.3,75.0%,6.8,,,,0,,,,,15,9.1,136,1,0
142,Josh Reynolds\ReynJo00,LAR,25,wr,4,3,12,10,135,13.5,0,8,23,2.5,33.8,83.3%,11.3,,,,0,,,,,10,13.5,135,0,2
143,Chris Conley\ConlCh00,JAX,28,wr,4,1,20,11,132,12.0,0,8,33,2.8,33.0,55.0%,6.6,,,,0,,,,,11,12.0,132,0,0
